ticker,currency,company_name,exchange,exchange_short,timezone
APTV,USD,Aptiv PLC,New York Stock Exchange,NYSE,America/New_York
AZUL,USD,Azul S.A.,New York Stock Exchange,NYSE,America/New_York
BEST,USD,BEST Inc.,New York Stock Exchange,NYSE,America/New_York
BHP,USD,BHP Group,New York Stock Exchange,NYSE,America/New_York
BBL,USD,BHP Group,New York Stock Exchange,NYSE,America/New_York
BP,USD,BP p.l.c.,New York Stock Exchange,NYSE,America/New_York
BOX,USD,"Box, Inc.",New York Stock Exchange,NYSE,America/New_York
COTY,USD,Coty Inc.,New York Stock Exchange,NYSE,America/New_York
CR,USD,Crane Co.,New York Stock Exchange,NYSE,America/New_York
CUBE,USD,CubeSmart,New York Stock Exchange,NYSE,America/New_York
DDR,USD,DDR Corp.,New York Stock Exchange,NYSE,America/New_York
HCP,USD,"HCP, Inc.",New York Stock Exchange,NYSE,America/New_York
HF,USD,"HFF, Inc.",New York Stock Exchange,NYSE,America/New_York
HUYA,USD,HUYA Inc.,New York Stock Exchange,NYSE,America/New_York
KBR,USD,"KBR, Inc.",New York Stock Exchange,NYSE,America/New_York
LAIX,USD,LAIX Inc.,New York Stock Exchange,NYSE,America/New_York
LIN,USD,Linde plc,New York Stock Exchange,NYSE,America/New_York
LINX,USD,Linx S.A.,New York Stock Exchange,NYSE,America/New_York
MBI,USD,MBIA Inc.,New York Stock Exchange,NYSE,America/New_York
MOGU,USD,MOGU Inc.,New York Stock Exchange,NYSE,America/New_York
MSCI,USD,MSCI Inc.,New York Stock Exchange,NYSE,America/New_York
NVR,USD,"NVR, Inc.",New York Stock Exchange,NYSE,America/New_York
PHI,USD,PLDT Inc.,New York Stock Exchange,NYSE,America/New_York
PVH,USD,PVH Corp.,New York Stock Exchange,NYSE,America/New_York
RLI,USD,RLI Corp.,New York Stock Exchange,NYSE,America/New_York
RES,USD,"RPC, Inc.",New York Stock Exchange,NYSE,America/New_York
SJW,USD,SJW Group,New York Stock Exchange,NYSE,America/New_York
SNAP,USD,Snap Inc.,New York Stock Exchange,NYSE,America/New_York
BID,USD,Sotheby's,New York Stock Exchange,NYSE,America/New_York
SUN,USD,Sunoco LP,New York Stock Exchange,NYSE,America/New_York
UDR,USD,"UDR, Inc.",New York Stock Exchange,NYSE,America/New_York
VALE,USD,Vale S.A.,New York Stock Exchange,NYSE,America/New_York
VVI,USD,Viad Corp,New York Stock Exchange,NYSE,America/New_York
V,USD,Visa Inc.,New York Stock Exchange,NYSE,America/New_York
YELP,USD,Yelp Inc.,New York Stock Exchange,NYSE,America/New_York
BPI,USD,Zovio Inc,New York Stock Exchange,NYSE,America/New_York
MMM,USD,3M Company,New York Stock Exchange,NYSE,America/New_York
ADNT,USD,Adient plc,New York Stock Exchange,NYSE,America/New_York
AEG,USD,Aegon N.V.,New York Stock Exchange,NYSE,America/New_York
AET,USD,Aetna Inc.,New York Stock Exchange,NYSE,America/New_York
ABEV,USD,Ambev S.A.,New York Stock Exchange,NYSE,America/New_York
CBZ,USD,"CBIZ, Inc.",New York Stock Exchange,NYSE,America/New_York
CANG,USD,Cango Inc.,New York Stock Exchange,NYSE,America/New_York
CAJ,USD,Canon Inc.,New York Stock Exchange,NYSE,America/New_York
CULP,USD,"Culp, Inc.",New York Stock Exchange,NYSE,America/New_York
DEO,USD,Diageo plc,New York Stock Exchange,NYSE,America/New_York
DAVA,USD,Endava plc,New York Stock Exchange,NYSE,America/New_York
E,USD,Eni S.p.A.,New York Stock Exchange,NYSE,America/New_York
EURN,USD,Euronav NV,New York Stock Exchange,NYSE,America/New_York
GGG,USD,Graco Inc.,New York Stock Exchange,NYSE,America/New_York
HEXO,USD,HEXO Corp.,New York Stock Exchange,NYSE,America/New_York
JBL,USD,Jabil Inc.,New York Stock Exchange,NYSE,America/New_York
KFY,USD,Korn Ferry,New York Stock Exchange,NYSE,America/New_York
LAZ,USD,Lazard Ltd,New York Stock Exchange,NYSE,America/New_York
MTL,USD,Mechel PAO,New York Stock Exchange,NYSE,America/New_York
NKE,USD,"NIKE, Inc.",New York Stock Exchange,NYSE,America/New_York
OOMA,USD,"Ooma, Inc.",New York Stock Exchange,NYSE,America/New_York
RPT,USD,RPT Realty,New York Stock Exchange,NYSE,America/New_York
STE,USD,STERIS plc,New York Stock Exchange,NYSE,America/New_York
SOGO,USD,Sogou Inc.,New York Stock Exchange,NYSE,America/New_York
SR,USD,Spire Inc.,New York Stock Exchange,NYSE,America/New_York
TGNA,USD,TEGNA Inc.,New York Stock Exchange,NYSE,America/New_York
TOT,USD,TOTAL S.A.,New York Stock Exchange,NYSE,America/New_York
TISI,USD,"Team, Inc.",New York Stock Exchange,NYSE,America/New_York
TRU,USD,TransUnion,New York Stock Exchange,NYSE,America/New_York
UNM,USD,Unum Group,New York Stock Exchange,NYSE,America/New_York
XPEV,USD,XPeng Inc.,New York Stock Exchange,NYSE,America/New_York
XYL,USD,Xylem Inc.,New York Stock Exchange,NYSE,America/New_York
YEXT,USD,"Yext, Inc.",New York Stock Exchange,NYSE,America/New_York
STAR,USD,iStar Inc.,New York Stock Exchange,NYSE,America/New_York
WUBA,USD,58.com Inc.,New York Stock Exchange,NYSE,America/New_York
ABBV,USD,AbbVie Inc.,New York Stock Exchange,NYSE,America/New_York
ALC,USD,"Alcon, Inc.",New York Stock Exchange,NYSE,America/New_York
APHA,USD,Aphria Inc.,New York Stock Exchange,NYSE,America/New_York
AGX,USD,"Argan, Inc.",New York Stock Exchange,NYSE,America/New_York
ASAN,USD,"Asana, Inc.",New York Stock Exchange,NYSE,America/New_York
ATTO,USD,Atento S.A.,New York Stock Exchange,NYSE,America/New_York
BDC,USD,Belden Inc.,New York Stock Exchange,NYSE,America/New_York
AI,USD,"C3.ai, Inc.",New York Stock Exchange,NYSE,America/New_York
CALX,USD,"Calix, Inc.",New York Stock Exchange,NYSE,America/New_York
CVNA,USD,Carvana Co.,New York Stock Exchange,NYSE,America/New_York
CHGG,USD,"Chegg, Inc.",New York Stock Exchange,NYSE,America/New_York
CHWY,USD,"Chewy, Inc.",New York Stock Exchange,NYSE,America/New_York
CISN,USD,Cision Ltd.,New York Stock Exchange,NYSE,America/New_York
DVA,USD,DaVita Inc.,New York Stock Exchange,NYSE,America/New_York
ECL,USD,Ecolab Inc.,New York Stock Exchange,NYSE,America/New_York
EBF,USD,"Ennis, Inc.",New York Stock Exchange,NYSE,America/New_York
EQNR,USD,Equinor ASA,New York Stock Exchange,NYSE,America/New_York
FTS,USD,Fortis Inc.,New York Stock Exchange,NYSE,America/New_York
GFA,USD,Gafisa S.A.,New York Stock Exchange,NYSE,America/New_York
GLOG,USD,GasLog Ltd.,New York Stock Exchange,NYSE,America/New_York
GGB,USD,Gerdau S.A.,New York Stock Exchange,NYSE,America/New_York
GEF,USD,"Greif, Inc.",New York Stock Exchange,NYSE,America/New_York
HUD,USD,Hudson Ltd.,New York Stock Exchange,NYSE,America/New_York
HUM,USD,Humana Inc.,New York Stock Exchange,NYSE,America/New_York
KAI,USD,Kadant Inc.,New York Stock Exchange,NYSE,America/New_York
KNL,USD,"Knoll, Inc.",New York Stock Exchange,NYSE,America/New_York
NVRO,USD,Nevro Corp.,New York Stock Exchange,NYSE,America/New_York
NVS,USD,Novartis AG,New York Stock Exchange,NYSE,America/New_York
OFG,USD,OFG Bancorp,New York Stock Exchange,NYSE,America/New_York
