ticker,currency,company_name,exchange,exchange_short,timezone
SVMK,USD,SVMK Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
SHPG,USD,Shire plc,NASDAQ Stock Exchange,NASDAQ,America/New_York
TSRI,USD,"TSR, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
TOWN,USD,TowneBank,NASDAQ Stock Exchange,NASDAQ,America/New_York
TZOO,USD,Travelzoo,NASDAQ Stock Exchange,NASDAQ,America/New_York
VEON,USD,VEON Ltd.,NASDAQ Stock Exchange,NASDAQ,America/New_York
VERU,USD,Veru Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
ZVO,USD,Zovio Inc,NASDAQ Stock Exchange,NASDAQ,America/New_York
ARGX,USD,argenx SE,NASDAQ Stock Exchange,NASDAQ,America/New_York
EBAY,USD,eBay Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
AAON,USD,"AAON, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
ADBE,USD,Adobe Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALIT,USD,Alight Inc,NASDAQ Stock Exchange,NASDAQ,America/New_York
ALLT,USD,Allot Ltd.,NASDAQ Stock Exchange,NASDAQ,America/New_York
AMGN,USD,Amgen Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
AAPL,USD,Apple Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
CBTX,USD,"CBTX, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
CEVA,USD,"CEVA, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
CONXU,USD,CONX Corp.,NASDAQ Stock Exchange,NASDAQ,America/New_York
CYRN,USD,CYREN Ltd.,NASDAQ Stock Exchange,NASDAQ,America/New_York
CDZI,USD,Cadiz Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
COHU,USD,"Cohu, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
COWN,USD,Cowen Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
COWNL,USD,Cowen Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
CREE,USD,"Cree, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
DOMO,USD,"Domo, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
EBIX,USD,"Ebix, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
ELTK,USD,Eltek Ltd.,NASDAQ Stock Exchange,NASDAQ,America/New_York
ETSY,USD,"Etsy, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
FFBW,USD,"FFBW, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
FRBA,USD,First Bank,NASDAQ Stock Exchange,NASDAQ,America/New_York
GAIA,USD,"Gaia, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
GMAB,USD,Genmab A/S,NASDAQ Stock Exchange,NASDAQ,America/New_York
GEVO,USD,"Gevo, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
IMRA,USD,IMARA Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
FROG,USD,JFrog Ltd.,NASDAQ Stock Exchange,NASDAQ,America/New_York
LCNB,USD,LCNB Corp.,NASDAQ Stock Exchange,NASDAQ,America/New_York
LIZI,USD,Lizhi Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
LYFT,USD,"Lyft, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
